TSLA,Date,Close
TSLA,12/28/2016,219.74
TSLA,12/29/2016,214.68
TSLA,12/30/2016,213.69
TSLA,1/3/2017,216.99
TSLA,1/4/2017,226.99
TSLA,1/5/2017,226.75
TSLA,1/6/2017,229.01
TSLA,1/9/2017,231.28
TSLA,1/10/2017,229.87
TSLA,1/11/2017,229.73
TSLA,1/12/2017,229.59
TSLA,1/13/2017,237.75
TSLA,1/17/2017,235.58
TSLA,1/18/2017,238.36
TSLA,1/19/2017,243.76
TSLA,1/20/2017,244.73
TSLA,1/23/2017,248.92
TSLA,1/24/2017,254.61
TSLA,1/25/2017,254.47
TSLA,1/26/2017,252.51
TSLA,1/27/2017,252.95
TSLA,1/30/2017,250.63
TSLA,1/31/2017,251.93
TSLA,2/1/2017,249.24
TSLA,2/2/2017,251.55
TSLA,2/3/2017,251.33
TSLA,2/6/2017,257.77
TSLA,2/7/2017,257.48
TSLA,2/8/2017,262.08
TSLA,2/9/2017,269.2
TSLA,2/10/2017,269.23
TSLA,2/13/2017,280.6
TSLA,2/14/2017,280.98
TSLA,2/15/2017,279.76
TSLA,2/16/2017,268.95
TSLA,2/17/2017,272.23
TSLA,2/21/2017,277.39
TSLA,2/22/2017,273.51
TSLA,2/23/2017,255.99
TSLA,2/24/2017,257
TSLA,2/27/2017,246.23
TSLA,2/28/2017,249.99
TSLA,3/1/2017,250.02
TSLA,3/2/2017,250.48
TSLA,3/3/2017,251.57
TSLA,3/6/2017,251.21
TSLA,3/7/2017,248.59
TSLA,3/8/2017,246.87
TSLA,3/9/2017,244.9
TSLA,3/10/2017,243.69
TSLA,3/13/2017,246.17
TSLA,3/14/2017,258
TSLA,3/15/2017,255.73
TSLA,3/16/2017,262.05
TSLA,3/17/2017,261.5
TSLA,3/20/2017,261.92
TSLA,3/21/2017,250.68
TSLA,3/22/2017,255.01
TSLA,3/23/2017,254.78
TSLA,3/24/2017,263.16
TSLA,3/27/2017,270.22
TSLA,3/28/2017,277.45
TSLA,3/29/2017,277.38
TSLA,3/30/2017,277.92
TSLA,3/31/2017,278.3
TSLA,4/3/2017,298.52
TSLA,4/4/2017,303.7
TSLA,4/5/2017,295
TSLA,4/6/2017,298.7
TSLA,4/7/2017,302.54
TSLA,4/10/2017,312.39
TSLA,4/11/2017,308.71
TSLA,4/12/2017,296.84
TSLA,4/13/2017,304
TSLA,4/17/2017,301.44
TSLA,4/18/2017,300.25
TSLA,4/19/2017,305.52
TSLA,4/20/2017,302.51
TSLA,4/21/2017,305.6
TSLA,4/24/2017,308.03
TSLA,4/25/2017,313.79
TSLA,4/26/2017,310.17
TSLA,4/27/2017,308.63
TSLA,4/28/2017,314.07
TSLA,5/1/2017,322.83
TSLA,5/2/2017,318.89
TSLA,5/3/2017,311.02
TSLA,5/4/2017,295.46
TSLA,5/5/2017,308.35
TSLA,5/8/2017,307.19
TSLA,5/9/2017,321.26
TSLA,5/10/2017,325.22
TSLA,5/11/2017,323.1
TSLA,5/12/2017,324.81
TSLA,5/15/2017,315.88
TSLA,5/16/2017,317.01
TSLA,5/17/2017,306.11
TSLA,5/18/2017,313.06
TSLA,5/19/2017,310.83
TSLA,5/22/2017,310.35
TSLA,5/23/2017,303.86
TSLA,5/24/2017,310.22
TSLA,5/25/2017,316.83
TSLA,5/26/2017,325.14
TSLA,5/30/2017,335.1
TSLA,5/31/2017,341.01
TSLA,6/1/2017,340.37
TSLA,6/2/2017,339.85
TSLA,6/5/2017,347.32
TSLA,6/6/2017,352.85
TSLA,6/7/2017,359.65
TSLA,6/8/2017,370
TSLA,6/9/2017,357.32
TSLA,6/12/2017,359.01
TSLA,6/13/2017,375.95
TSLA,6/14/2017,380.66
TSLA,6/15/2017,375.34
TSLA,6/16/2017,371.4
TSLA,6/19/2017,369.8
TSLA,6/20/2017,372.24
TSLA,6/21/2017,376.4
TSLA,6/22/2017,382.61
TSLA,6/23/2017,383.45
TSLA,6/26/2017,377.49
TSLA,6/27/2017,362.37
TSLA,6/28/2017,371.24
TSLA,6/29/2017,360.75
TSLA,6/30/2017,361.61
TSLA,7/3/2017,352.62
TSLA,7/5/2017,327.09
TSLA,7/6/2017,308.83
TSLA,7/7/2017,313.22
TSLA,7/10/2017,316.05
TSLA,7/11/2017,327.22
TSLA,7/12/2017,329.52
TSLA,7/13/2017,323.41
TSLA,7/14/2017,327.78
TSLA,7/17/2017,319.57
TSLA,7/18/2017,328.24
TSLA,7/19/2017,325.26
TSLA,7/20/2017,329.92
TSLA,7/21/2017,328.4
TSLA,7/24/2017,342.52
TSLA,7/25/2017,339.6
TSLA,7/26/2017,343.85
TSLA,7/27/2017,334.46
TSLA,7/28/2017,335.07
TSLA,7/31/2017,323.47
TSLA,8/1/2017,319.57
TSLA,8/2/2017,325.89
TSLA,8/3/2017,347.09
TSLA,8/4/2017,356.91
TSLA,8/7/2017,355.17
TSLA,8/8/2017,365.22
TSLA,8/9/2017,363.53
TSLA,8/10/2017,355.4
TSLA,8/11/2017,357.87
TSLA,8/14/2017,363.8
TSLA,8/15/2017,362.33
TSLA,8/16/2017,362.91
TSLA,8/17/2017,351.92
TSLA,8/18/2017,347.46
TSLA,8/21/2017,337.86
TSLA,8/22/2017,341.35
TSLA,8/23/2017,352.77
TSLA,8/24/2017,352.93
TSLA,8/25/2017,348.05
TSLA,8/28/2017,345.66
TSLA,8/29/2017,347.36
TSLA,8/30/2017,353.18
TSLA,8/31/2017,355.9
TSLA,9/1/2017,355.4
TSLA,9/5/2017,349.59
TSLA,9/6/2017,344.53
TSLA,9/7/2017,350.61
TSLA,9/8/2017,343.4
TSLA,9/11/2017,363.69
TSLA,9/12/2017,362.75
TSLA,9/13/2017,366.23
TSLA,9/14/2017,377.64
TSLA,9/15/2017,379.81
TSLA,9/18/2017,385
TSLA,9/19/2017,375.1
TSLA,9/20/2017,373.91
TSLA,9/21/2017,366.48
TSLA,9/22/2017,351.09
TSLA,9/25/2017,344.99
TSLA,9/26/2017,345.25
TSLA,9/27/2017,340.97
TSLA,9/28/2017,339.6
TSLA,9/29/2017,341.1
TSLA,10/2/2017,341.53
TSLA,10/3/2017,348.14
TSLA,10/4/2017,355.01
TSLA,10/5/2017,355.33
TSLA,10/6/2017,356.88
TSLA,10/9/2017,342.94
TSLA,10/10/2017,355.59
TSLA,10/11/2017,354.6
TSLA,10/12/2017,355.68
TSLA,10/13/2017,355.57
TSLA,10/16/2017,350.6
TSLA,10/17/2017,355.75
TSLA,10/18/2017,359.65
TSLA,10/19/2017,351.81
TSLA,10/20/2017,345.1
TSLA,10/23/2017,337.02
TSLA,10/24/2017,337.34
TSLA,10/25/2017,325.84
TSLA,10/26/2017,326.17
TSLA,10/27/2017,320.87
TSLA,10/30/2017,320.08
TSLA,10/31/2017,331.53
TSLA,11/1/2017,321.08
TSLA,11/2/2017,299.26
TSLA,11/3/2017,306.09
TSLA,11/6/2017,302.78
TSLA,11/7/2017,306.05
TSLA,11/8/2017,304.39
TSLA,11/9/2017,302.99
TSLA,11/10/2017,302.99
TSLA,11/13/2017,315.4
TSLA,11/14/2017,308.7
TSLA,11/15/2017,311.3
TSLA,11/16/2017,312.5
TSLA,11/17/2017,315.05
TSLA,11/20/2017,308.74
TSLA,11/21/2017,317.81
TSLA,11/22/2017,312.6
TSLA,11/24/2017,315.55
TSLA,11/27/2017,316.81
TSLA,11/28/2017,317.55
TSLA,11/29/2017,307.54
TSLA,11/30/2017,308.85
TSLA,12/1/2017,306.53
TSLA,12/4/2017,305.2
TSLA,12/5/2017,303.7
TSLA,12/6/2017,313.26
TSLA,12/7/2017,311.24
TSLA,12/8/2017,315.13
TSLA,12/11/2017,328.91
TSLA,12/12/2017,341.03
TSLA,12/13/2017,339.03
TSLA,12/14/2017,337.89
TSLA,12/15/2017,343.45
TSLA,12/18/2017,338.87
TSLA,12/19/2017,331.1
TSLA,12/20/2017,328.98
TSLA,12/21/2017,331.66
TSLA,12/22/2017,325.2
TSLA,12/26/2017,317.29
TSLA,12/27/2017,311.64
TSLA,12/28/2017,315.36
TSLA,12/29/2017,311.35
TSLA,1/2/2018,320.53
TSLA,1/3/2018,317.25
TSLA,1/4/2018,314.62
TSLA,1/5/2018,316.58
TSLA,1/8/2018,336.41
TSLA,1/9/2018,333.69
TSLA,1/10/2018,334.8
TSLA,1/11/2018,337.95
TSLA,1/12/2018,336.22
TSLA,1/16/2018,340.06
TSLA,1/17/2018,347.16
TSLA,1/18/2018,344.57
TSLA,1/19/2018,350.02
TSLA,1/22/2018,351.56
TSLA,1/23/2018,352.79
TSLA,1/24/2018,345.89
TSLA,1/25/2018,337.64
TSLA,1/26/2018,342.85
TSLA,1/29/2018,349.53
TSLA,1/30/2018,345.82
TSLA,1/31/2018,354.31
TSLA,2/1/2018,349.25
TSLA,2/2/2018,343.75
TSLA,2/5/2018,333.13
